Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 26 s using 10156 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  biolink:directly_physically_interacts_with  ?b  ?b  decreased_degradation_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  decreased_degradation_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  secretion_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  secretion_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?a  increased_activity_biolink:affects  ?b  ?b  secretion_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?b  secretion_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  upregulated_biolink:regulates  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.6	0.6	3	5	5	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.3	0.6	3	10	5	?a
?a  biolink:decreases_response_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.027777778	0.117647059	2	72	17	?a
?a  biolink:increases_response_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.019230769	0.057142857	2	104	35	?a
