Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 24 s using 10357 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:affects_response_to  ?a  ?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.666666667	0.666666667	2	3	3	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000299557	0.326086957	0.340909091	15	46	44	?a
?b  biolink:affects_response_to  ?a  ?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.1	0.125	1	10	8	?a
?b  biolink:affects_response_to  ?a  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.214285714	0.3	3	14	10	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000758877	0.527777778	0.567164179	38	72	67	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.066666667	0.085714286	3	45	35	?a
?a  decreased_activity_biolink:affects  ?b  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.047619048	0.0625	2	42	32	?a
?a  decreased_abundance_biolink:affects  ?b  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.333333333	0.333333333	1	3	3	?a
?b  biolink:affects_response_to  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.230769231	0.333333333	3	13	9	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.3	0.333333333	6	20	18	?a
?b  biolink:affects_response_to  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.129032258	0.148148148	4	31	27	?a
