Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 37 s using 10313 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.002974997	0.153448276	0.22361809	178	1160	796	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.001236796	0.4625	0.592	74	160	125	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.2	0.2	1	5	5	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.02173913	0.157894737	3	138	19	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000701966	0.090517241	0.14532872	42	464	289	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:related_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.5	1	1	2	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000768819	0.096842105	0.153333333	46	475	300	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00038441	0.58974359	0.657142857	23	39	35	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:binds  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000534831	0.367816092	0.463768116	32	87	69	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.294117647	0.294117647	5	17	17	?a
?b  abundance_biolink:affects  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.6	0.6	3	5	5	?a
