Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 27 s using 10275 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  activity_or_abundance_biolink:affects  ?b  ?b  biolink:affects_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.333333333	0.4	2	6	5	?a
?b  biolink:affects_response_to  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000013895	0.384615385	0.454545455	5	13	11	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_degradation_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.064516129	0.071428571	2	31	28	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:affects_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000069475	0.342465753	0.357142857	25	73	70	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:affects_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000066696	0.375	0.375	24	64	64	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.166666667	0.333333333	1	6	3	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.09375	0.09375	6	64	64	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:decreases_response_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.5	0.5	2	4	4	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.2	0.2	2	10	10	?a
?b  biolink:affects_response_to  ?a  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000013895	0.357142857	0.416666667	5	14	12	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_secretion_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?a  biolink:decreases_response_to  ?b  ?b  increased_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.009259259	0.142857143	1	108	7	?a
