Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-fixed.txt
  Finished robokop-biolink3-fixed.txt, still running: 0
Loaded 18138526 facts in 1 min, 34 s using 10124 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  increased_molecular_interaction_biolink:affects  ?b  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.25	0.25	2	8	8	?a
?a  biolink:directly_physically_interacts_with  ?b  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000199704	0.23255814	0.23255814	10	43	43	?a
?a  biolink:interacts_with  ?b  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.875	0.875	7	8	8	?a
?a  decreased_activity_biolink:affects  ?b  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.105263158	0.114285714	4	38	35	?a
?b  biolink:related_to  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.25	0.25	1	4	4	?a
?a  biolink:related_to  ?b  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.166666667	0.166666667	2	12	12	?a
?a  decreased_expression_biolink:affects  ?b  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.125	0.125	2	16	16	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  biolink:related_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.006622517	0.5	1	151	2	?a
?a  biolink:interacts_with  ?b  ?a  increased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.4	0.4	2	5	5	?a
?a  biolink:interacts_with  ?b  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?a  biolink:affects_response_to  ?b  ?a  biolink:decreases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.010238908	0.166666667	3	293	18	?a
?a  biolink:interacts_with  ?b  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.001397931	0.220125786	0.313901345	70	318	223	?a
?a  decreased_activity_biolink:affects  ?b  ?a  increased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.2	0.214285714	3	15	14	?a
